task 0 has started...
task 1 has started...
Beginning latency timing test. Number of reps = 1000.
***************************************************
Rep#       T1               T2            deltaT
 551  26918073.44407440  26918073.44407533  0.00000092
 552  26918073.44408431  26918073.44408507  0.00000076
 553  26918073.44409407  26918073.44409481  0.00000074
 554  26918073.44410358  26918073.44410449  0.00000092
 555  26918073.44411351  26918073.44411437  0.00000086
 556  26918073.44412381  26918073.44412461  0.00000080
 557  26918073.44413379  26918073.44413466  0.00000087
 558  26918073.44414361  26918073.44414447  0.00000086
 559  26918073.44415351  26918073.44415437  0.00000086
 560  26918073.44416669  26918073.44416757  0.00000088
 561  26918073.44417881  26918073.44417972  0.00000091
 562  26918073.44419078  26918073.44419176  0.00000098
 563  26918073.44420137  26918073.44420225  0.00000088
 564  26918073.44421139  26918073.44421232  0.00000094
 565  26918073.44422140  26918073.44422226  0.00000087
 566  26918073.44423439  26918073.44423545  0.00000105
 567  26918073.44424513  26918073.44424603  0.00000090
 568  26918073.44425534  26918073.44425628  0.00000094
 569  26918073.44426544  26918073.44426630  0.00000087
 570  26918073.44427815  26918073.44427911  0.00000096
 571  26918073.44428899  26918073.44428986  0.00000087
 572  26918073.44429906  26918073.44430000  0.00000093
 573  26918073.44430920  26918073.44430995  0.00000074
 574  26918073.44431907  26918073.44431996  0.00000090
 575  26918073.44432907  26918073.44432990  0.00000082
 576  26918073.44433884  26918073.44433971  0.00000086
 577  26918073.44434893  26918073.44434973  0.00000080
 578  26918073.44435953  26918073.44436038  0.00000085
 579  26918073.44436954  26918073.44437035  0.00000081
 580  26918073.44437947  26918073.44438033  0.00000086
 581  26918073.44438945  26918073.44439035  0.00000091
 582  26918073.44440192  26918073.44440289  0.00000097
 583  26918073.44441299  26918073.44441391  0.00000092
 584  26918073.44442353  26918073.44442427  0.00000074
 585  26918073.44443329  26918073.44443403  0.00000074
 586  26918073.44444314  26918073.44444395  0.00000080
 587  26918073.44445312  26918073.44445385  0.00000073
 588  26918073.44446559  26918073.44446637  0.00000079
 589  26918073.44447622  26918073.44447701  0.00000079
 590  26918073.44448616  26918073.44448695  0.00000080
 591  26918073.44449613  26918073.44449695  0.00000082
 592  26918073.44450871  26918073.44450951  0.00000080
 593  26918073.44451928  26918073.44452002  0.00000074
 594  26918073.44452925  26918073.44453014  0.00000089
 595  26918073.44453963  26918073.44454049  0.00000086
 596  26918073.44455083  26918073.44455177  0.00000094
 597  26918073.44456249  26918073.44456328  0.00000079
 598  26918073.44457225  26918073.44457322  0.00000097
 599  26918073.44458234  26918073.44458323  0.00000089
 600  26918073.44459265  26918073.44459343  0.00000077
 601  26918073.44460266  26918073.44460349  0.00000083
 602  26918073.44461261  26918073.44461346  0.00000085
 603  26918073.44462251  26918073.44462338  0.00000087
 604  26918073.44463552  26918073.44463635  0.00000083
 605  26918073.44464615  26918073.44464694  0.00000078
 606  26918073.44465706  26918073.44465790  0.00000084
 607  26918073.44466779  26918073.44466868  0.00000089
 608  26918073.44467798  26918073.44467879  0.00000081
 609  26918073.44468793  26918073.44468868  0.00000075
 610  26918073.44469779  26918073.44469870  0.00000091
 611  26918073.44470787  26918073.44470862  0.00000075
 612  26918073.44471763  26918073.44471848  0.00000085
 613  26918073.44473014  26918073.44473102  0.00000088
 614  26918073.44474108  26918073.44474187  0.00000079
 615  26918073.44475163  26918073.44475244  0.00000081
 616  26918073.44476265  26918073.44476339  0.00000074
 617  26918073.44477288  26918073.44477361  0.00000073
 618  26918073.44478319  26918073.44478399  0.00000080
 619  26918073.44479303  26918073.44479389  0.00000086
 620  26918073.44480488  26918073.44480588  0.00000100
 621  26918073.44481599  26918073.44481686  0.00000086
 622  26918073.44482626  26918073.44482724  0.00000098
 623  26918073.44483657  26918073.44483744  0.00000086
 624  26918073.44484666  26918073.44484746  0.00000080
 625  26918073.44485944  26918073.44486036  0.00000092
 626  26918073.44487036  26918073.44487111  0.00000075
 627  26918073.44488099  26918073.44488180  0.00000081
 628  26918073.44489126  26918073.44489213  0.00000088
 629  26918073.44490131  26918073.44490211  0.00000080
 630  26918073.44491111  26918073.44491190  0.00000079
 631  26918073.44492088  26918073.44492165  0.00000078
 632  26918073.44493073  26918073.44493154  0.00000081
 633  26918073.44494287  26918073.44494379  0.00000091
 634  26918073.44495386  26918073.44495479  0.00000093
 635  26918073.44496433  26918073.44496507  0.00000074
 636  26918073.44497460  26918073.44497541  0.00000081
 637  26918073.44498448  26918073.44498533  0.00000085
 638  26918073.44499446  26918073.44499553  0.00000107
 639  26918073.44500749  26918073.44500830  0.00000081
 640  26918073.44501751  26918073.44501850  0.00000100
 641  26918073.44502736  26918073.44502822  0.00000086
 642  26918073.44503758  26918073.44503850  0.00000092
 643  26918073.44504820  26918073.44504904  0.00000084
 644  26918073.44505890  26918073.44505982  0.00000092
 645  26918073.44506927  26918073.44507013  0.00000086
 646  26918073.44507904  26918073.44507986  0.00000081
 647  26918073.44508902  26918073.44508983  0.00000081
 648  26918073.44510167  26918073.44510260  0.00000092
 649  26918073.44511238  26918073.44511320  0.00000081
 650  26918073.44512237  26918073.44512333  0.00000096
 651  26918073.44513255  26918073.44513350  0.00000095
 652  26918073.44514259  26918073.44514344  0.00000085
 653  26918073.44515531  26918073.44515640  0.00000109
 654  26918073.44516612  26918073.44516699  0.00000087
 655  26918073.44517621  26918073.44517716  0.00000095
 656  26918073.44518638  26918073.44518723  0.00000085
 657  26918073.44519875  26918073.44519973  0.00000098
 658  26918073.44520953  26918073.44521038  0.00000086
 659  26918073.44521967  26918073.44522060  0.00000094
 660  26918073.44522984  26918073.44523071  0.00000086
 661  26918073.44523984  26918073.44524067  0.00000083
 662  26918073.44524967  26918073.44525050  0.00000082
 663  26918073.44525965  26918073.44526041  0.00000076
 664  26918073.44526946  26918073.44527026  0.00000080
 665  26918073.44527951  26918073.44528036  0.00000085
 666  26918073.44529193  26918073.44529298  0.00000105
 667  26918073.44530311  26918073.44530397  0.00000086
 668  26918073.44531357  26918073.44531450  0.00000093
 669  26918073.44532391  26918073.44532482  0.00000091
 670  26918073.44533512  26918073.44533605  0.00000093
 671  26918073.44534524  26918073.44534600  0.00000076
 672  26918073.44535520  26918073.44535607  0.00000087
 673  26918073.44536520  26918073.44536600  0.00000080
 674  26918073.44537511  26918073.44537597  0.00000086
 675  26918073.44538755  26918073.44538852  0.00000097
 676  26918073.44539839  26918073.44539925  0.00000086
 677  26918073.44540863  26918073.44540948  0.00000086
 678  26918073.44541867  26918073.44541954  0.00000088
 679  26918073.44542873  26918073.44542953  0.00000080
 680  26918073.44544144  26918073.44544223  0.00000078
 681  26918073.44545171  26918073.44545256  0.00000085
 682  26918073.44546196  26918073.44546276  0.00000080
 683  26918073.44547191  26918073.44547277  0.00000086
 684  26918073.44548374  26918073.44548461  0.00000087
 685  26918073.44549453  26918073.44549542  0.00000090
 686  26918073.44550522  26918073.44550615  0.00000093
 687  26918073.44551540  26918073.44551616  0.00000076
 688  26918073.44552510  26918073.44552603  0.00000093
 689  26918073.44553809  26918073.44553889  0.00000080
 690  26918073.44554906  26918073.44554980  0.00000074
 691  26918073.44555949  26918073.44556032  0.00000083
 692  26918073.44556945  26918073.44557031  0.00000086
 693  26918073.44557949  26918073.44558050  0.00000101
 694  26918073.44559180  26918073.44559263  0.00000083
 695  26918073.44560271  26918073.44560365  0.00000094
 696  26918073.44561316  26918073.44561403  0.00000087
 697  26918073.44562348  26918073.44562441  0.00000094
 698  26918073.44563369  26918073.44563453  0.00000085
 699  26918073.44564623  26918073.44564705  0.00000082
 700  26918073.44565724  26918073.44565805  0.00000081
 701  26918073.44566784  26918073.44566875  0.00000091
 702  26918073.44567810  26918073.44567898  0.00000089
 703  26918073.44568818  26918073.44568894  0.00000075
 704  26918073.44569820  26918073.44569910  0.00000089
 705  26918073.44570805  26918073.44570880  0.00000075
 706  26918073.44571776  26918073.44571849  0.00000073
 707  26918073.44572764  26918073.44572845  0.00000081
 708  26918073.44573767  26918073.44573843  0.00000076
 709  26918073.44574996  26918073.44575097  0.00000101
 710  26918073.44576051  26918073.44576139  0.00000088
 711  26918073.44577104  26918073.44577178  0.00000075
 712  26918073.44578111  26918073.44578192  0.00000081
 713  26918073.44579095  26918073.44579187  0.00000092
 714  26918073.44580361  26918073.44580449  0.00000088
 715  26918073.44581396  26918073.44581475  0.00000079
 716  26918073.44582423  26918073.44582498  0.00000075
 717  26918073.44583432  26918073.44583528  0.00000096
 718  26918073.44584446  26918073.44584534  0.00000088
 719  26918073.44585695  26918073.44585796  0.00000101
 720  26918073.44586785  26918073.44586863  0.00000079
 721  26918073.44587800  26918073.44587881  0.00000080
 722  26918073.44588800  26918073.44588874  0.00000073
 723  26918073.44590021  26918073.44590123  0.00000102
 724  26918073.44591086  26918073.44591177  0.00000091
 725  26918073.44592102  26918073.44592199  0.00000097
 726  26918073.44593093  26918073.44593169  0.00000076
 727  26918073.44594100  26918073.44594176  0.00000076
 728  26918073.44595136  26918073.44595216  0.00000080
 729  26918073.44596208  26918073.44596282  0.00000074
 730  26918073.44597232  26918073.44597325  0.00000094
 731  26918073.44598242  26918073.44598328  0.00000086
 732  26918073.44599530  26918073.44599614  0.00000084
 733  26918073.44601020  26918073.44601169  0.00000149
 734  26918073.44602118  26918073.44602221  0.00000103
 735  26918073.44603224  26918073.44603337  0.00000113
 736  26918073.44604244  26918073.44604344  0.00000099
 737  26918073.44605255  26918073.44605343  0.00000088
 738  26918073.44606483  26918073.44606574  0.00000091
 739  26918073.44607542  26918073.44607641  0.00000098
 740  26918073.44608565  26918073.44608654  0.00000089
 741  26918073.44609561  26918073.44609656  0.00000095
 742  26918073.44610827  26918073.44610913  0.00000086
 743  26918073.44611901  26918073.44611998  0.00000096
 744  26918073.44612991  26918073.44613070  0.00000079
 745  26918073.44614106  26918073.44614198  0.00000092
 746  26918073.44615089  26918073.44615173  0.00000084
 747  26918073.44616056  26918073.44616148  0.00000092
 748  26918073.44617248  26918073.44617335  0.00000087
 749  26918073.44618320  26918073.44618407  0.00000087
 750  26918073.44619363  26918073.44619457  0.00000094
 751  26918073.44620373  26918073.44620464  0.00000090
 752  26918073.44621366  26918073.44621459  0.00000093
 753  26918073.44622638  26918073.44622739  0.00000101
 754  26918073.44623690  26918073.44623769  0.00000079
 755  26918073.44624741  26918073.44624827  0.00000086
 756  26918073.44625746  26918073.44625820  0.00000075
 757  26918073.44626758  26918073.44626842  0.00000085
 758  26918073.44628000  26918073.44628092  0.00000092
 759  26918073.44629088  26918073.44629164  0.00000076
 760  26918073.44630102  26918073.44630181  0.00000080
 761  26918073.44631113  26918073.44631201  0.00000088
 762  26918073.44632129  26918073.44632211  0.00000082
 763  26918073.44633120  26918073.44633209  0.00000089
 764  26918073.44634110  26918073.44634205  0.00000095
 765  26918073.44635374  26918073.44635468  0.00000094
 766  26918073.44636420  26918073.44636514  0.00000094
 767  26918073.44637429  26918073.44637520  0.00000091
 768  26918073.44638445  26918073.44638537  0.00000092
 769  26918073.44639446  26918073.44639541  0.00000095
 770  26918073.44640454  26918073.44640534  0.00000080
 771  26918073.44641526  26918073.44641616  0.00000089
 772  26918073.44642550  26918073.44642644  0.00000094
 773  26918073.44643559  26918073.44643651  0.00000092
 774  26918073.44644832  26918073.44644933  0.00000101
 775  26918073.44645897  26918073.44645984  0.00000087
 776  26918073.44646930  26918073.44647007  0.00000078
 777  26918073.44647982  26918073.44648080  0.00000098
 778  26918073.44649000  26918073.44649098  0.00000098
 779  26918073.44650006  26918073.44650085  0.00000080
 780  26918073.44651000  26918073.44651092  0.00000092
 781  26918073.44652241  26918073.44652330  0.00000088
 782  26918073.44653287  26918073.44653374  0.00000087
 783  26918073.44654308  26918073.44654388  0.00000080
 784  26918073.44655301  26918073.44655386  0.00000086
 785  26918073.44656537  26918073.44656637  0.00000099
 786  26918073.44657616  26918073.44657701  0.00000085
 787  26918073.44658612  26918073.44658704  0.00000092
 788  26918073.44659608  26918073.44659703  0.00000095
 789  26918073.44660605  26918073.44660700  0.00000095
 790  26918073.44661588  26918073.44661665  0.00000077
 791  26918073.44662577  26918073.44662662  0.00000085
 792  26918073.44663596  26918073.44663678  0.00000082
 793  26918073.44664600  26918073.44664677  0.00000076
 794  26918073.44665830  26918073.44665911  0.00000081
 795  26918073.44666926  26918073.44667010  0.00000084
 796  26918073.44667951  26918073.44668032  0.00000081
 797  26918073.44668962  26918073.44669057  0.00000095
 798  26918073.44669966  26918073.44670041  0.00000075
 799  26918073.44671197  26918073.44671293  0.00000096
 800  26918073.44672249  26918073.44672336  0.00000088
 801  26918073.44673273  26918073.44673365  0.00000092
 802  26918073.44674283  26918073.44674356  0.00000074
 803  26918073.44675545  26918073.44675625  0.00000080
 804  26918073.44676603  26918073.44676687  0.00000085
 805  26918073.44677620  26918073.44677709  0.00000089
 806  26918073.44678633  26918073.44678714  0.00000081
 807  26918073.44679886  26918073.44679980  0.00000094
 808  26918073.44680975  26918073.44681068  0.00000093
 809  26918073.44681977  26918073.44682062  0.00000085
 810  26918073.44682969  26918073.44683043  0.00000074
 811  26918073.44683950  26918073.44684040  0.00000090
 812  26918073.44684953  26918073.44685032  0.00000079
 813  26918073.44686117  26918073.44686203  0.00000086
 814  26918073.44687297  26918073.44687378  0.00000081
 815  26918073.44688401  26918073.44688496  0.00000095
 816  26918073.44689430  26918073.44689506  0.00000076
 817  26918073.44690419  26918073.44690494  0.00000075
 818  26918073.44691397  26918073.44691478  0.00000081
 819  26918073.44692585  26918073.44692662  0.00000077
 820  26918073.44693746  26918073.44693829  0.00000084
 821  26918073.44694824  26918073.44694911  0.00000087
 822  26918073.44695843  26918073.44695922  0.00000079
 823  26918073.44696834  26918073.44696927  0.00000093
 824  26918073.44697846  26918073.44697931  0.00000085
 825  26918073.44699122  26918073.44699213  0.00000091
 826  26918073.44700504  26918073.44700594  0.00000089
 827  26918073.44701589  26918073.44701683  0.00000095
 828  26918073.44702674  26918073.44702765  0.00000091
 829  26918073.44703721  26918073.44703798  0.00000077
 830  26918073.44704698  26918073.44704779  0.00000081
 831  26918073.44705683  26918073.44705768  0.00000085
 832  26918073.44706918  26918073.44707005  0.00000087
 833  26918073.44708025  26918073.44708099  0.00000074
 834  26918073.44708974  26918073.44709050  0.00000077
 835  26918073.44710161  26918073.44710252  0.00000091
 836  26918073.44711226  26918073.44711306  0.00000079
 837  26918073.44712283  26918073.44712375  0.00000092
 838  26918073.44713318  26918073.44713393  0.00000075
 839  26918073.44714327  26918073.44714402  0.00000075
 840  26918073.44715303  26918073.44715402  0.00000098
 841  26918073.44716294  26918073.44716367  0.00000073
 842  26918073.44717257  26918073.44717337  0.00000079
 843  26918073.44718517  26918073.44718607  0.00000090
 844  26918073.44719610  26918073.44719706  0.00000096
 845  26918073.44720658  26918073.44720745  0.00000086
 846  26918073.44721675  26918073.44721768  0.00000093
 847  26918073.44722671  26918073.44722746  0.00000075
 848  26918073.44723666  26918073.44723756  0.00000090
 849  26918073.44724913  26918073.44725003  0.00000090
 850  26918073.44725990  26918073.44726089  0.00000099
 851  26918073.44726998  26918073.44727090  0.00000092
 852  26918073.44728007  26918073.44728112  0.00000105
 853  26918073.44729239  26918073.44729329  0.00000090
 854  26918073.44730319  26918073.44730412  0.00000093
 855  26918073.44731373  26918073.44731455  0.00000081
 856  26918073.44732356  26918073.44732450  0.00000095
 857  26918073.44733598  26918073.44733687  0.00000089
 858  26918073.44734694  26918073.44734788  0.00000093
 859  26918073.44735741  26918073.44735833  0.00000092
 860  26918073.44736758  26918073.44736839  0.00000081
 861  26918073.44737767  26918073.44737862  0.00000095
 862  26918073.44738987  26918073.44739081  0.00000094
 863  26918073.44740085  26918073.44740159  0.00000074
 864  26918073.44741135  26918073.44741216  0.00000080
 865  26918073.44742135  26918073.44742212  0.00000077
 866  26918073.44743120  26918073.44743201  0.00000082
 867  26918073.44744110  26918073.44744195  0.00000085
 868  26918073.44745331  26918073.44745431  0.00000100
 869  26918073.44746418  26918073.44746507  0.00000090
 870  26918073.44747438  26918073.44747515  0.00000077
 871  26918073.44748430  26918073.44748510  0.00000080
 872  26918073.44749433  26918073.44749507  0.00000074
 873  26918073.44750647  26918073.44750735  0.00000088
 874  26918073.44751728  26918073.44751817  0.00000089
 875  26918073.44752794  26918073.44752883  0.00000089
 876  26918073.44753803  26918073.44753882  0.00000079
 877  26918073.44754788  26918073.44754874  0.00000086
 878  26918073.44755784  26918073.44755864  0.00000080
 879  26918073.44756777  26918073.44756850  0.00000073
 880  26918073.44757821  26918073.44757913  0.00000092
 881  26918073.44758821  26918073.44758895  0.00000075
 882  26918073.44759813  26918073.44759906  0.00000094
 883  26918073.44761072  26918073.44761153  0.00000081
 884  26918073.44762142  26918073.44762234  0.00000092
 885  26918073.44763166  26918073.44763248  0.00000082
 886  26918073.44764158  26918073.44764244  0.00000086
 887  26918073.44765158  26918073.44765240  0.00000081
 888  26918073.44766401  26918073.44766495  0.00000094
 889  26918073.44767470  26918073.44767550  0.00000080
 890  26918073.44768479  26918073.44768565  0.00000086
 891  26918073.44769486  26918073.44769578  0.00000092
 892  26918073.44770754  26918073.44770850  0.00000096
 893  26918073.44771807  26918073.44771899  0.00000093
 894  26918073.44772928  26918073.44773005  0.00000077
 895  26918073.44773930  26918073.44774015  0.00000085
 896  26918073.44774939  26918073.44775018  0.00000079
 897  26918073.44775928  26918073.44776014  0.00000086
 898  26918073.44776928  26918073.44777010  0.00000081
 899  26918073.44777910  26918073.44777996  0.00000086
 900  26918073.44778902  26918073.44778997  0.00000096
 901  26918073.44779900  26918073.44779975  0.00000075
 902  26918073.44780879  26918073.44780954  0.00000075
 903  26918073.44782132  26918073.44782219  0.00000087
 904  26918073.44783198  26918073.44783276  0.00000078
 905  26918073.44784215  26918073.44784327  0.00000111
 906  26918073.44785256  26918073.44785342  0.00000086
 907  26918073.44786264  26918073.44786362  0.00000098
 908  26918073.44787271  26918073.44787356  0.00000085
 909  26918073.44788272  26918073.44788351  0.00000079
 910  26918073.44789547  26918073.44789638  0.00000091
 911  26918073.44790603  26918073.44790695  0.00000092
 912  26918073.44791614  26918073.44791699  0.00000085
 913  26918073.44792611  26918073.44792702  0.00000091
 914  26918073.44793600  26918073.44793675  0.00000075
 915  26918073.44794839  26918073.44794926  0.00000088
 916  26918073.44795902  26918073.44795984  0.00000082
 917  26918073.44796924  26918073.44797179  0.00000255
 918  26918073.44798339  26918073.44798616  0.00000278
 919  26918073.44799594  26918073.44799694  0.00000100
 920  26918073.44801389  26918073.44801486  0.00000097
 921  26918073.44802583  26918073.44802675  0.00000092
 922  26918073.44803680  26918073.44803760  0.00000080
 923  26918073.44805694  26918073.44805794  0.00000100
 924  26918073.44806650  26918073.44806745  0.00000095
 925  26918073.44807592  26918073.44807683  0.00000091
 926  26918073.44808532  26918073.44808608  0.00000076
 927  26918073.44809458  26918073.44809529  0.00000071
 928  26918073.44810385  26918073.44810471  0.00000086
 929  26918073.44811315  26918073.44811401  0.00000086
 930  26918073.44812237  26918073.44812322  0.00000085
 931  26918073.44813171  26918073.44813262  0.00000091
 932  26918073.44814109  26918073.44814194  0.00000085
 933  26918073.44815026  26918073.44815101  0.00000075
 934  26918073.44815959  26918073.44816046  0.00000087
 935  26918073.44816888  26918073.44816974  0.00000086
 936  26918073.44817843  26918073.44817930  0.00000087
 937  26918073.44818788  26918073.44818864  0.00000076
 938  26918073.44819717  26918073.44819792  0.00000076
 939  26918073.44820651  26918073.44820730  0.00000079
 940  26918073.44821573  26918073.44821660  0.00000086
 941  26918073.44822511  26918073.44822599  0.00000087
 942  26918073.44823667  26918073.44823748  0.00000081
 943  26918073.44824704  26918073.44824775  0.00000071
 944  26918073.44825687  26918073.44825763  0.00000076
 945  26918073.44826718  26918073.44826799  0.00000081
 946  26918073.44827717  26918073.44827793  0.00000076
 947  26918073.44828737  26918073.44828824  0.00000087
 948  26918073.44829721  26918073.44829810  0.00000088
 949  26918073.44830710  26918073.44830782  0.00000072
 950  26918073.44831661  26918073.44831746  0.00000086
 951  26918073.44832669  26918073.44832755  0.00000086
 952  26918073.44833659  26918073.44833731  0.00000072
 953  26918073.44834664  26918073.44834740  0.00000076
 954  26918073.44835627  26918073.44835707  0.00000080
 955  26918073.44836628  26918073.44836717  0.00000089
 956  26918073.44837627  26918073.44837710  0.00000083
 957  26918073.44838621  26918073.44838699  0.00000078
 958  26918073.44839630  26918073.44839710  0.00000081
 959  26918073.44840611  26918073.44840697  0.00000086
 960  26918073.44841591  26918073.44841677  0.00000085
 961  26918073.44842565  26918073.44842652  0.00000086
 962  26918073.44843568  26918073.44843651  0.00000083
 963  26918073.44844504  26918073.44844593  0.00000089
 964  26918073.44845442  26918073.44845526  0.00000084
 965  26918073.44846397  26918073.44846475  0.00000078
 966  26918073.44847338  26918073.44847420  0.00000082
 967  26918073.44848280  26918073.44848367  0.00000087
 968  26918073.44849399  26918073.44849478  0.00000079
 969  26918073.44850526  26918073.44850609  0.00000082
 970  26918073.44851644  26918073.44851736  0.00000092
 971  26918073.44852775  26918073.44852853  0.00000077
 972  26918073.44853806  26918073.44853893  0.00000086
 973  26918073.44854845  26918073.44854932  0.00000088
 974  26918073.44855835  26918073.44855911  0.00000076
 975  26918073.44856859  26918073.44856944  0.00000085
 976  26918073.44857896  26918073.44857982  0.00000086
 977  26918073.44858923  26918073.44859004  0.00000080
 978  26918073.44859954  26918073.44860039  0.00000085
 979  26918073.44860985  26918073.44861078  0.00000093
 980  26918073.44862039  26918073.44862130  0.00000091
 981  26918073.44863071  26918073.44863154  0.00000083
 982  26918073.44864100  26918073.44864186  0.00000086
 983  26918073.44865074  26918073.44865157  0.00000083
 984  26918073.44866074  26918073.44866169  0.00000095
 985  26918073.44867039  26918073.44867111  0.00000072
 986  26918073.44867986  26918073.44868056  0.00000070
 987  26918073.44868904  26918073.44868995  0.00000091
 988  26918073.44870063  26918073.44870136  0.00000073
 989  26918073.44871156  26918073.44871238  0.00000082
 990  26918073.44872320  26918073.44872408  0.00000088
 991  26918073.44873367  26918073.44873453  0.00000086
 992  26918073.44874415  26918073.44874486  0.00000072
 993  26918073.44875459  26918073.44875540  0.00000081
 994  26918073.44876504  26918073.44876580  0.00000075
 995  26918073.44877551  26918073.44877638  0.00000087
 996  26918073.44878590  26918073.44878668  0.00000079
 997  26918073.44879634  26918073.44879717  0.00000083
 998  26918073.44880644  26918073.44880731  0.00000086
 999  26918073.44881623  26918073.44881706  0.00000083
1000  26918073.44882597  26918073.44882672  0.00000075
***************************************************

*** Avg round trip time = 0 microseconds
*** Avg one way latency = 0 microseconds
