task 0 has started...
task 1 has started...
Beginning latency timing test. Number of reps = 1000.
***************************************************
Rep#       T1               T2            deltaT
 109  26918073.43936838  26918073.43936927  0.00000089
 110  26918073.43937895  26918073.43937995  0.00000099
 111  26918073.43938924  26918073.43939000  0.00000076
 112  26918073.43939932  26918073.43940018  0.00000086
 113  26918073.43940948  26918073.43941032  0.00000084
 114  26918073.43942017  26918073.43942110  0.00000094
 115  26918073.43943012  26918073.43943094  0.00000082
 116  26918073.43943980  26918073.43944070  0.00000090
 117  26918073.43944971  26918073.43945063  0.00000092
 118  26918073.43945983  26918073.43946059  0.00000076
 119  26918073.43947235  26918073.43947332  0.00000097
 120  26918073.43948347  26918073.43948435  0.00000088
 121  26918073.43949435  26918073.43949527  0.00000092
 122  26918073.43950481  26918073.43950573  0.00000092
 123  26918073.43951540  26918073.43951635  0.00000095
 124  26918073.43952585  26918073.43952671  0.00000087
 125  26918073.43953608  26918073.43953700  0.00000092
 126  26918073.43954674  26918073.43954749  0.00000075
 127  26918073.43955687  26918073.43955772  0.00000085
 128  26918073.43956695  26918073.43956778  0.00000083
 129  26918073.43957710  26918073.43957796  0.00000086
 130  26918073.43958710  26918073.43958795  0.00000085
 131  26918073.43959704  26918073.43959791  0.00000087
 132  26918073.43960967  26918073.43961068  0.00000101
 133  26918073.43962042  26918073.43962128  0.00000086
 134  26918073.43963047  26918073.43963128  0.00000081
 135  26918073.43964037  26918073.43964124  0.00000087
 136  26918073.43965025  26918073.43965133  0.00000108
 137  26918073.43966040  26918073.43966132  0.00000092
 138  26918073.43967023  26918073.43967120  0.00000096
 139  26918073.43968234  26918073.43968319  0.00000085
 140  26918073.43969275  26918073.43969372  0.00000097
 141  26918073.43970316  26918073.43970392  0.00000076
 142  26918073.43971387  26918073.43971488  0.00000101
 143  26918073.43972452  26918073.43972583  0.00000131
 144  26918073.43973503  26918073.43973597  0.00000094
 145  26918073.43974515  26918073.43974613  0.00000098
 146  26918073.43975519  26918073.43975609  0.00000090
 147  26918073.43976513  26918073.43976599  0.00000086
 148  26918073.43977530  26918073.43977615  0.00000085
 149  26918073.43978741  26918073.43978829  0.00000088
 150  26918073.43980022  26918073.43980115  0.00000092
 151  26918073.43981112  26918073.43981205  0.00000093
 152  26918073.43982194  26918073.43982283  0.00000089
 153  26918073.43983257  26918073.43983359  0.00000102
 154  26918073.43984277  26918073.43984367  0.00000090
 155  26918073.43985298  26918073.43985390  0.00000092
 156  26918073.43986309  26918073.43986388  0.00000079
 157  26918073.43987302  26918073.43987402  0.00000100
 158  26918073.43988568  26918073.43988672  0.00000105
 159  26918073.43989668  26918073.43989761  0.00000092
 160  26918073.43990690  26918073.43990779  0.00000089
 161  26918073.43991696  26918073.43991790  0.00000094
 162  26918073.43992711  26918073.43992800  0.00000089
 163  26918073.43993768  26918073.43993861  0.00000093
 164  26918073.43994804  26918073.43994901  0.00000096
 165  26918073.43995851  26918073.43995931  0.00000080
 166  26918073.43996869  26918073.43996957  0.00000088
 167  26918073.43997869  26918073.43997958  0.00000089
 168  26918073.43998881  26918073.43998969  0.00000088
 169  26918073.44000711  26918073.44000819  0.00000108
 170  26918073.44001734  26918073.44001824  0.00000090
 171  26918073.44002732  26918073.44002815  0.00000083
 172  26918073.44003714  26918073.44003793  0.00000079
 173  26918073.44004697  26918073.44004793  0.00000096
 174  26918073.44005676  26918073.44005757  0.00000081
 175  26918073.44006957  26918073.44007057  0.00000099
 176  26918073.44008040  26918073.44008128  0.00000088
 177  26918073.44009109  26918073.44009205  0.00000096
 178  26918073.44010138  26918073.44010228  0.00000090
 179  26918073.44011153  26918073.44011237  0.00000084
 180  26918073.44012237  26918073.44012331  0.00000094
 181  26918073.44013282  26918073.44013375  0.00000094
 182  26918073.44014311  26918073.44014404  0.00000093
 183  26918073.44015281  26918073.44015373  0.00000092
 184  26918073.44016274  26918073.44016366  0.00000092
 185  26918073.44017259  26918073.44017352  0.00000093
 186  26918073.44018272  26918073.44018377  0.00000105
 187  26918073.44019536  26918073.44019626  0.00000090
 188  26918073.44020620  26918073.44020712  0.00000092
 189  26918073.44021687  26918073.44021787  0.00000100
 190  26918073.44022739  26918073.44022828  0.00000089
 191  26918073.44023763  26918073.44023844  0.00000082
 192  26918073.44024840  26918073.44024928  0.00000088
 193  26918073.44025885  26918073.44025970  0.00000085
 194  26918073.44026915  26918073.44027006  0.00000090
 195  26918073.44027920  26918073.44028007  0.00000087
 196  26918073.44028904  26918073.44028991  0.00000088
 197  26918073.44029893  26918073.44029986  0.00000092
 198  26918073.44030878  26918073.44030965  0.00000087
 199  26918073.44031860  26918073.44031952  0.00000092
 200  26918073.44032853  26918073.44032941  0.00000088
 201  26918073.44034131  26918073.44034242  0.00000110
 202  26918073.44035207  26918073.44035296  0.00000089
 203  26918073.44036915  26918073.44037000  0.00000085
 204  26918073.44037974  26918073.44038055  0.00000081
 205  26918073.44038947  26918073.44039039  0.00000092
 206  26918073.44039929  26918073.44040009  0.00000080
 207  26918073.44040903  26918073.44040997  0.00000094
 208  26918073.44041884  26918073.44041967  0.00000083
 209  26918073.44042855  26918073.44042956  0.00000101
 210  26918073.44043852  26918073.44043949  0.00000096
 211  26918073.44045109  26918073.44045189  0.00000080
 212  26918073.44046180  26918073.44046265  0.00000085
 213  26918073.44047271  26918073.44047362  0.00000091
 214  26918073.44048316  26918073.44048402  0.00000086
 215  26918073.44049294  26918073.44049385  0.00000091
 216  26918073.44050278  26918073.44050364  0.00000086
 217  26918073.44051263  26918073.44051360  0.00000096
 218  26918073.44052264  26918073.44052342  0.00000077
 219  26918073.44053230  26918073.44053312  0.00000083
 220  26918073.44054207  26918073.44054294  0.00000087
 221  26918073.44055454  26918073.44055534  0.00000080
 222  26918073.44056527  26918073.44056619  0.00000092
 223  26918073.44057512  26918073.44057598  0.00000087
 224  26918073.44058497  26918073.44058578  0.00000080
 225  26918073.44059510  26918073.44059603  0.00000093
 226  26918073.44060517  26918073.44060598  0.00000081
 227  26918073.44061481  26918073.44061568  0.00000087
 228  26918073.44062646  26918073.44062746  0.00000100
 229  26918073.44063710  26918073.44063797  0.00000086
 230  26918073.44064729  26918073.44064821  0.00000092
 231  26918073.44065763  26918073.44065854  0.00000091
 232  26918073.44066772  26918073.44066857  0.00000085
 233  26918073.44067762  26918073.44067853  0.00000091
 234  26918073.44068744  26918073.44068836  0.00000092
 235  26918073.44069734  26918073.44069822  0.00000088
 236  26918073.44070723  26918073.44070813  0.00000090
 237  26918073.44071711  26918073.44071797  0.00000086
 238  26918073.44072937  26918073.44073020  0.00000083
 239  26918073.44074002  26918073.44074086  0.00000084
 240  26918073.44075041  26918073.44075127  0.00000086
 241  26918073.44076113  26918073.44076198  0.00000085
 242  26918073.44077093  26918073.44077180  0.00000087
 243  26918073.44078084  26918073.44078177  0.00000093
 244  26918073.44079078  26918073.44079170  0.00000092
 245  26918073.44080320  26918073.44080415  0.00000095
 246  26918073.44081381  26918073.44081463  0.00000082
 247  26918073.44082428  26918073.44082523  0.00000095
 248  26918073.44083440  26918073.44083533  0.00000094
 249  26918073.44084418  26918073.44084521  0.00000103
 250  26918073.44085608  26918073.44085706  0.00000098
 251  26918073.44086790  26918073.44086892  0.00000102
 252  26918073.44087973  26918073.44088070  0.00000097
